prompt_idx,transform,z,tokens
0,identity,-0.273,220
0,whisper_light,-0.273,220
0,lowercase,-0.232,223
0,punct_strip,-0.123,200
0,word_drop_10,-0.41,199
0,word_shuffle_10,0.391,219
1,identity,0.819,220
1,whisper_light,0.819,220
1,lowercase,0.86,219
1,punct_strip,0.249,195
1,word_drop_10,0.211,188
1,word_shuffle_10,-0.154,225
2,identity,0.351,220
2,whisper_light,0.507,220
2,lowercase,0.507,220
2,punct_strip,0.087,179
2,word_drop_10,-0.122,204
2,word_shuffle_10,-0.346,226
3,identity,0.195,220
3,whisper_light,0.195,220
3,lowercase,0.398,211
3,punct_strip,1.544,203
3,word_drop_10,1.199,196
3,word_shuffle_10,0.115,226
4,identity,-0.897,220
4,whisper_light,-0.897,220
4,lowercase,-0.585,220
4,punct_strip,-0.855,202
4,word_drop_10,-0.327,201
4,word_shuffle_10,-0.58,224
5,identity,0.467,221
5,whisper_light,0.467,221
5,lowercase,0.86,219
5,punct_strip,0.537,196
5,word_drop_10,0.082,199
5,word_shuffle_10,-0.038,226
