prompt_idx,transform,z,tokens
0,identity,11.166,212
0,whisper_light,11.166,212
0,lowercase,9.602,213
0,punct_strip,5.197,195
0,word_drop_10,7.702,194
0,word_shuffle_10,4.586,212
1,identity,8.568,212
1,whisper_light,8.568,212
1,lowercase,5.049,210
1,punct_strip,4.113,190
1,word_drop_10,3.89,184
1,word_shuffle_10,5.299,217
2,identity,7.45,212
2,whisper_light,7.45,212
2,lowercase,5.888,210
2,punct_strip,3.081,181
2,word_drop_10,5.576,192
2,word_shuffle_10,5.014,216
3,identity,11.788,212
3,whisper_light,11.788,212
3,lowercase,6.373,213
3,punct_strip,6.3,192
3,word_drop_10,4.262,175
3,word_shuffle_10,6.814,211
4,identity,10.03,212
4,whisper_light,10.03,212
4,lowercase,8.638,213
4,punct_strip,5.629,198
4,word_drop_10,7.022,194
4,word_shuffle_10,4.621,212
5,identity,5.815,212
5,whisper_light,5.815,212
5,lowercase,5.343,212
5,punct_strip,3.211,190
5,word_drop_10,2.845,199
5,word_shuffle_10,2.662,219
