prompt_idx,transform,z,pred,tokens
0,identity,12.211,True,220
0,whisper_light,12.032,True,218
0,lowercase,8.778,True,220
0,punct_strip,9.238,True,197
0,word_drop_10,10.778,True,201
0,word_shuffle_10,8.859,True,216
1,identity,11.587,True,220
1,whisper_light,11.562,True,218
1,lowercase,10.617,True,223
1,punct_strip,10.156,True,203
1,word_drop_10,9.296,True,186
1,word_shuffle_10,7.398,True,214
2,identity,11.275,True,220
2,whisper_light,11.119,True,220
2,lowercase,9.09,True,220
2,punct_strip,10.414,True,204
2,word_drop_10,7.98,True,196
2,word_shuffle_10,8.778,True,220
3,identity,9.714,True,220
3,whisper_light,9.558,True,220
3,lowercase,6.075,True,218
3,punct_strip,9.368,True,195
3,word_drop_10,7.383,True,184
3,word_shuffle_10,8.387,True,216
4,identity,10.807,True,220
4,whisper_light,10.807,True,220
4,lowercase,8.778,True,220
4,punct_strip,9.863,True,200
4,word_drop_10,8.721,True,187
4,word_shuffle_10,6.895,True,206
5,identity,1.912,False,220
5,whisper_light,2.068,False,220
5,lowercase,1.756,False,220
5,punct_strip,1.867,False,125
5,word_drop_10,0.912,False,195
5,word_shuffle_10,1.142,False,216
