prompt_idx,transform,z,pred,tokens
0,identity,14.633,True,212
0,whisper_light,14.63,True,210
0,lowercase,11.656,True,212
0,punct_strip,8.471,True,187
0,word_drop_10,10.114,True,183
0,word_shuffle_10,5.848,True,202
1,identity,11.199,True,212
1,whisper_light,11.038,True,210
1,lowercase,6.219,True,217
1,punct_strip,5.394,True,192
1,word_drop_10,8.272,True,172
1,word_shuffle_10,6.122,True,204
2,identity,13.382,True,212
2,whisper_light,13.3,True,210
2,lowercase,10.119,True,213
2,punct_strip,7.588,True,192
2,word_drop_10,6.949,True,182
2,word_shuffle_10,7.039,True,210
3,identity,15.829,True,212
3,whisper_light,15.658,True,210
3,lowercase,10.05,True,228
3,punct_strip,10.571,True,196
3,word_drop_10,5.848,True,164
3,word_shuffle_10,8.387,True,196
4,identity,10.949,True,212
4,whisper_light,10.878,True,210
4,lowercase,8.528,True,207
4,punct_strip,0.554,False,111
4,word_drop_10,11.07,True,202
4,word_shuffle_10,11.07,True,202
5,identity,9.601,True,212
5,whisper_light,9.499,True,209
5,lowercase,5.321,True,212
5,punct_strip,0.873,False,125
5,word_drop_10,5.489,True,160
5,word_shuffle_10,6.723,True,191
