prompt_idx,transform,z,tokens
0,identity,8.745,250
0,whisper_light,8.745,250
0,lowercase,6.549,250
0,punct_strip,5.864,225
0,word_drop_10,8.065,227
0,word_shuffle_10,5.865,246
1,identity,6.208,248
1,whisper_light,6.208,248
1,lowercase,3.243,252
1,punct_strip,4.827,221
1,word_drop_10,6.144,205
1,word_shuffle_10,5.667,244
2,identity,5.897,163
2,whisper_light,5.897,163
2,lowercase,5.961,162
2,punct_strip,5.19,148
2,word_drop_10,5.381,148
2,word_shuffle_10,5.171,163
3,identity,8.305,250
3,whisper_light,8.305,250
3,lowercase,6.847,247
3,punct_strip,6.836,227
3,word_drop_10,7.884,222
3,word_shuffle_10,6.012,246
4,identity,8.891,250
4,whisper_light,8.891,250
4,lowercase,8.159,250
4,punct_strip,7.742,219
4,word_drop_10,7.396,228
4,word_shuffle_10,6.16,246
5,identity,6.013,249
5,whisper_light,6.013,249
5,lowercase,4.785,247
5,punct_strip,5.083,219
5,word_drop_10,6.116,232
5,word_shuffle_10,4.287,245
