prompt_idx,transform,z,tokens
0,identity,5.642,172
0,whisper_light,5.642,172
0,lowercase,3.954,172
0,punct_strip,1.659,147
0,word_drop_10,3.93,161
0,word_shuffle_10,2.335,170
1,identity,5.974,172
1,whisper_light,5.974,172
1,lowercase,2.858,178
1,punct_strip,2.29,157
1,word_drop_10,2.768,147
1,word_shuffle_10,2.693,168
2,identity,4.715,172
2,whisper_light,4.715,172
2,lowercase,3.898,170
2,punct_strip,3.17,153
2,word_drop_10,2.254,153
2,word_shuffle_10,4.002,169
3,identity,5.904,172
3,whisper_light,5.904,172
3,lowercase,2.094,167
3,punct_strip,0.8,157
3,word_drop_10,2.179,155
3,word_shuffle_10,2.691,169
4,identity,8.214,172
4,whisper_light,8.214,172
4,lowercase,7.623,172
4,punct_strip,6.303,157
4,word_drop_10,4.597,150
4,word_shuffle_10,2.646,170
5,identity,7.448,172
5,whisper_light,7.448,172
5,lowercase,6.011,173
5,punct_strip,3.79,151
5,word_drop_10,5.335,156
5,word_shuffle_10,4.818,168
